id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1839341,ModernWaterfrontBedWilliamsburg,9610339,Cris,Brooklyn,Williamsburg,40.71962,-73.96405,Entire home/apt,300,5,14,2/6/15,0.14,1,154,0,
2003807,UWSMANHATTANAPTFORSUPERBOWLWE,10317189,Edouard,Manhattan,Upper West Side,40.79321,-73.9694,Entire home/apt,1000,30,0,,,1,0,0,
1929540,floorloftinGramercypark,6846161,Stefano,Manhattan,Gramercy,40.73744,-73.98031,Entire home/apt,175,30,9,6/21/14,0.09,1,0,0,
1932110,ManhattanLESShorttermStay,10001551,Herman  F,Manhattan,Lower East Side,40.72241,-73.99119,Private room,175,30,20,8/21/18,0.2,1,49,0,
1844088,RenovatedStudioMidtownEast,1512462,Evan & Maria,Manhattan,Midtown,40.75378,-73.96655,Shared room,118,4,202,5/9/22,1.96,2,230,37,
1932491,BestViewLuxuryBuildingTimeSqu,10003254,Mac,Manhattan,Hell's Kitchen,40.75742,-73.99342,Private room,105,30,10,6/26/16,0.12,1,0,0,
1934444,HavemeyerHoliday,4393358,Cj,Brooklyn,Williamsburg,40.71546,-73.95198,Private room,80,30,5,11/1/14,0.05,1,0,0,
2008122,LargeBedroomAptinParkSlope,10335193,Whitney,Brooklyn,South Slope,40.66928,-73.9884,Entire home/apt,150,30,3,8/1/14,0.03,1,0,0,
1845817,AmazingBedinHOMEYhippyhaveninHARLEM,9642814,Mary Ann,Manhattan,Harlem,40.81322,-73.95311,Private room,50,3,16,2/12/22,0.31,3,305,2,
2010624,SunnyandspaciousBRapartment,10346273,Yolanda,Brooklyn,Flatbush,40.6358,-73.96477,Entire home/apt,115,30,4,1/15/16,0.04,1,0,0,
1934512,Penthousestudiowskylightsandskylineviews,2317686,Bryan,Brooklyn,Clinton Hill,40.69081,-73.96838,Entire home/apt,200,30,40,3/12/20,0.41,1,212,0,
1934765,OneBedroomAptSuitableforTwo,10012271,Karmesha,Bronx,Parkchester,40.83645,-73.86634,Entire home/apt,195,30,1,1/1/15,0.01,1,0,0,
1934804,StoryTownhouseinBrooklynSleeps,10012421,Deborah,Brooklyn,Clinton Hill,40.69318,-73.96778,Entire home/apt,750,4,58,5/19/22,1.06,1,128,5,
1935175,cuteBDaptingreenpoint,239829,Lauren,Brooklyn,Greenpoint,40.73369,-73.95297,Entire home/apt,140,7,1,8/16/16,0.01,1,0,0,
1846580,ParkSlopeBedroominEccentricNewYorkApartment,9646158,Frederick,Brooklyn,South Slope,40.66415,-73.97866,Private room,200,3,205,4/18/22,2.01,1,63,21,
1935302,COZYandWARMGardenApartment,10008086,Brandon,Brooklyn,Fort Greene,40.69188,-73.97059,Entire home/apt,161,2,152,5/28/22,2.6,1,282,47,
2012750,LOVELYBEDROOMAPTBATHKITLIVINGROOM,10355206,Rosa,Queens,Ridgewood,40.703983,-73.908447,Entire home/apt,120,28,68,5/15/22,0.66,2,277,3,
1847389,ShortorLongterminbeautifulCarrollGardens,9371210,Shane,Brooklyn,Red Hook,40.67505,-74.00094,Entire home/apt,249,3,64,5/22/22,0.79,1,169,14,
1935826,PrivroominbdrmaptRoomC,9207223,Ryan,Manhattan,Harlem,40.8073,-73.94771,Private room,93,30,1,10/14/15,0.01,3,124,0,
1851567,ComfyHarlemBedforNightlyRental,9669675,Carlos,Manhattan,Harlem,40.80633,-73.94987,Private room,60,4,22,5/19/22,0.37,2,279,16,
1936633,GreatBDwaterfrontCityIslandNY,10018391,Alex,Bronx,City Island,40.85343,-73.78811,Entire home/apt,110,30,109,5/31/22,1.07,1,44,2,
2015168,CozyBDAPTclosetosubway,10365281,Jennifer,Brooklyn,Bedford-Stuyvesant,40.68644,-73.95618,Entire home/apt,160,30,272,5/7/22,2.73,1,316,8,
1853765,PreWarSubwayParksMuseums,416918,Kimberly,Manhattan,Upper East Side,40.77593,-73.94927,Entire home/apt,550,30,0,,,1,0,0,
1936772,PrivateGroundFloorStudioAptPLUSDriveway,2274545,Kerri & Steve,Queens,Rego Park,40.7198,-73.85915,Entire home/apt,85,3,153,5/14/22,1.48,1,250,27,
1937226,AwesomeHarlemHousebdrfloors,8826175,Grover,Manhattan,Harlem,40.8107,-73.94617,Entire home/apt,295,3,209,11/7/20,2.03,3,98,0,
1855846,UnsharedAptCozyOneBedroom,9685977,Sherry,Manhattan,Harlem,40.82595,-73.9525,Entire home/apt,180,30,37,12/22/19,0.36,1,350,0,
1939106,CharmingBRintheEastVillage,3710931,Stephanie,Manhattan,East Village,40.72884,-73.98308,Entire home/apt,145,30,18,7/16/18,0.18,1,0,0,
1856027,HipBrickEastVillageApartment,267955,Peter,Manhattan,East Village,40.72479,-73.98493,Entire home/apt,92,30,118,6/5/21,1.15,1,0,1,
2016579,CozyPrivateroominBrooklyn,8013034,Kenny And Christine,Brooklyn,Bushwick,40.69685,-73.91044,Private room,50,30,16,5/31/20,0.26,2,281,0,
1856803,BRPrivEastVillageAptSleeps,485738,Ross,Manhattan,East Village,40.72331,-73.98619,Entire home/apt,225,3,10,9/7/16,0.1,1,0,0,
1939283,BoerumHillGardenApartment,7329934,Laurence,Brooklyn,Boerum Hill,40.68445,-73.98624,Entire home/apt,139,5,59,5/22/22,0.57,1,94,16,
1861572,LUXURYbedroomhomeofficeonthAve,639526,Sinem,Manhattan,Midtown,40.743771,-73.987869,Entire home/apt,525,30,0,,,2,294,0,
1941094,XLARGEModerncleanmasterbedroom,2559004,Sergio,Manhattan,East Harlem,40.80272,-73.94051,Private room,50,30,2,12/4/20,0.06,5,290,0,
2017397,uniqueDESIGNERaptSleepsBrooklynMuseum,2496464,Monica,Brooklyn,Crown Heights,40.66658,-73.95514,Entire home/apt,156,30,87,3/15/20,0.88,1,296,0,
1863930,ndatTHROOPMANSION,3351261,Kris,Brooklyn,Bedford-Stuyvesant,40.68933,-73.94327,Entire home/apt,99,30,93,4/29/18,0.96,1,0,0,
1865336,Privatebedroominbeautifulloftapartment,9725785,J.D. & Stephanie,Brooklyn,Williamsburg,40.71216,-73.96677,Private room,55,30,257,3/18/20,2.63,2,0,0,
1865884,HarlemBRblockstosubway,1753078,Abby,Manhattan,Harlem,40.80474,-73.94631,Entire home/apt,139,30,0,,,1,0,0,
1941435,SunnyRoomnearall,9917136,Rani,Brooklyn,Crown Heights,40.67632,-73.92444,Private room,38,31,18,8/15/21,0.17,5,33,2,
2087663,ChicneatcozysmallBRApt,10657268,Boryana,Queens,Astoria,40.76206,-73.9223,Entire home/apt,130,30,0,,,1,0,0,
1941439,PrivateRoomnexttoParkminstosubways,10041857,Veronica,Manhattan,East Harlem,40.7971,-73.94748,Private room,65,30,51,11/19/21,0.49,1,34,1,
1944155,FunkyFurnishedBedroomonTreeLinedStreet,7720086,Henri-Leon,Brooklyn,Fort Greene,40.688,-73.97386,Entire home/apt,160,31,9,5/2/22,0.14,1,246,1,
1944891,Spaciousonebedroomapartment,861330,Joseph,Brooklyn,Williamsburg,40.70139,-73.94499,Entire home/apt,70,30,0,,,3,0,0,
1947400,BDCozyChelseaApartment,10071397,Trevor,Manhattan,Chelsea,40.74195,-73.99601,Entire home/apt,214,30,4,8/20/18,0.04,1,214,0,
2019755,FrontStudioinLoftApartmentSteinerStudios,10383481,Bradley,Brooklyn,Clinton Hill,40.69651,-73.96887,Entire home/apt,95,28,174,3/6/22,1.7,1,5,14,
2019927,BeautifulFurnishedBedroomaptWashHtsManhtn,10384087,Todd,Manhattan,Inwood,40.86275,-73.92891,Entire home/apt,150,1,108,5/18/22,1.38,1,169,10,
2022126,MidtownManhattanApt,10392717,Rick,Manhattan,Midtown,40.75053,-73.98094,Private room,557,30,0,,,1,0,0,
2022920,UES,8214568,Allison,Manhattan,Upper East Side,40.78081,-73.95045,Entire home/apt,250,30,0,,,1,0,0,
2022958,ElegantBRatColumbusCircle,195168,Raees,Manhattan,Hell's Kitchen,40.76639,-73.98449,Entire home/apt,250,30,16,10/15/16,0.16,1,0,0,
2088389,EntireSunDrenchedApartmentinClintonHill,234918,Mariya,Brooklyn,Fort Greene,40.68466,-73.96831,Entire home/apt,100,30,17,8/30/17,0.17,1,0,0,
2088725,BeautifulrenovatedbedroomApt,10661536,Edgar,Brooklyn,Gowanus,40.67035,-73.99154,Entire home/apt,124,4,81,4/29/22,0.81,1,161,17,
2089273,WilliamsburgLuxuryBedroom,8956323,Jayar,Brooklyn,Williamsburg,40.708,-73.94619,Entire home/apt,200,30,0,,,1,0,0,
2023357,ArtisticnFunkyBDbythePark,10398270,Andrew And Katie,Manhattan,East Harlem,40.78727,-73.95093,Entire home/apt,120,30,4,4/9/16,0.04,1,0,0,
2089492,SunnyBedroomAptinWilliamsburg,1104548,Kimberly,Brooklyn,Williamsburg,40.71382,-73.96427,Entire home/apt,225,30,28,10/31/18,0.33,1,0,0,
2089712,SpaciousBRMidtownWest,10666587,Kevin,Manhattan,Hell's Kitchen,40.75594,-73.99224,Entire home/apt,119,30,3,12/14/15,0.03,1,0,0,
2026434,DuplexCondowithlargedeckinNWilliamsburg,5772472,Anthony,Brooklyn,Williamsburg,40.71973,-73.95617,Entire home/apt,406,30,0,,,1,303,0,
2092827,SqftparadiseinWilliamsburg,1799971,Kim,Brooklyn,Williamsburg,40.71181,-73.94827,Entire home/apt,420,30,0,,,1,264,0,
1948494,AmazingSqFtStudioApartment,9950152,Dawn & Vernon,Brooklyn,East Flatbush,40.63763,-73.94979,Entire home/apt,105,2,283,5/17/22,2.76,1,274,38,
1950603,CozyNYCaptmintoCentralPark,8048803,Daan,Queens,Astoria,40.75563,-73.91747,Entire home/apt,78,30,2,7/25/15,0.02,1,0,0,
1954653,FIVESTARLIGHTFILLEDDUPLEXPRIVATEDECK,10103520,Graham,Manhattan,Kips Bay,40.74387,-73.97657,Entire home/apt,195,30,37,1/1/20,0.36,1,0,0,
1956467,BigbeautifulcentralBDinBrooklyn,1500550,Shira,Brooklyn,Prospect Heights,40.67308,-73.96487,Entire home/apt,55,30,5,12/30/17,0.05,1,0,0,
2093064,ShareableChelseaBRwithWasherDryerbeds,7245581,Michael,Manhattan,Chelsea,40.749565,-73.996368,Entire home/apt,125,180,22,9/7/21,0.22,19,279,1,
